date,159928(汇添富消费ETF),515650(富国消费50ETF),513070(易方达港股通消费ETF)
2022-03-14,1.0103,1.2212,1.0
2022-03-17,1.0146,1.2337,1.0004
2022-03-18,1.0194,1.2384,1.002
2022-03-21,1.0202,1.2317,0.9916
2022-03-22,1.0192,1.2304,1.0226
2022-03-23,1.0255,1.2356,1.0293
2022-03-24,1.0103,1.2193,1.0133
2022-03-25,0.9936,1.1956,0.9761
2022-03-28,0.9772,1.1782,0.9888
2022-03-29,0.9788,1.1704,1.0085
2022-03-30,1.0092,1.2159,1.0278
2022-03-31,1.0023,1.209,1.0093
2022-04-01,1.0179,1.2388,1.0134
2022-04-06,1.0065,1.2263,1.0121
2022-04-07,0.9944,1.2166,0.9926
2022-04-08,0.9889,1.2157,0.9857
2022-04-11,0.9718,1.1841,0.9413
2022-04-12,1.0093,1.2329,0.966
2022-04-13,1.0004,1.2235,0.9722
2022-04-14,1.037,1.2687,0.9883
2022-04-15,1.033,1.2647,0.993
2022-04-18,1.0395,1.2578,0.9909
2022-04-19,1.0379,1.2506,0.9615
2022-04-20,1.0434,1.2602,0.9746
2022-04-21,1.0222,1.2365,0.9521
2022-04-22,1.0193,1.2432,0.9614
2022-04-25,0.9781,1.1961,0.9233
2022-04-26,0.986,1.1986,0.9536
2022-04-27,1.0117,1.2261,0.9635
2022-04-28,1.0138,1.2337,0.9699
2022-04-29,1.0144,1.2482,1.0359
2022-05-05,1.0165,1.2608,1.0027
2022-05-06,0.9877,1.2279,0.9609
2022-05-09,0.9816,1.2114,0.9686
2022-05-10,0.9945,1.224,0.9563
2022-05-11,0.9982,1.2322,0.9882
2022-05-12,0.9996,1.2286,0.9678
2022-05-13,0.9954,1.2317,1.0124
2022-05-16,0.9902,1.2231,1.0111
2022-05-17,0.9925,1.2295,1.0486
2022-05-18,0.9874,1.2197,1.0463
2022-05-19,0.9761,1.2072,1.009
2022-05-20,1.0039,1.2419,1.038
2022-05-23,0.9965,1.22,1.0072
2022-05-24,0.9778,1.2002,0.9722
2022-05-25,0.9831,1.2034,0.9767
2022-05-26,0.9817,1.202,0.979
2022-05-27,0.9827,1.2022,1.0116
2022-05-30,1.0018,1.2245,1.043
2022-05-31,1.0301,1.2526,1.0698
2022-06-01,1.0203,1.244,1.0664
2022-06-02,1.0134,1.2381,1.0671
2022-06-06,1.0217,1.2489,1.1048
2022-06-07,1.0361,1.2628,1.0973
2022-06-08,1.0496,1.2785,1.1306
2022-06-09,1.0396,1.2617,1.1125
2022-06-10,1.0489,1.2747,1.1236
2022-06-13,1.0406,1.253,1.0847
2022-06-14,1.0546,1.2668,1.0916
2022-06-15,1.063,1.2866,1.1007
2022-06-16,1.069,1.2873,1.0606
2022-06-17,1.0837,1.3133,1.0775
2022-06-20,1.0946,1.3313,1.0953
2022-06-21,1.0899,1.3313,1.1062
2022-06-22,1.0833,1.3104,1.0841
2022-06-23,1.092,1.3229,1.1053
2022-06-24,1.1054,1.3522,1.1404
2022-06-27,1.1371,1.3835,1.1669
2022-06-28,1.1423,1.3959,1.184
2022-06-29,1.1232,1.3803,1.1502
2022-06-30,1.1538,1.4236,1.1481
2022-07-01,1.1473,1.411,1.144
2022-07-04,1.1647,1.4183,1.1441
2022-07-05,1.1581,1.4088,1.1364
2022-07-06,1.1325,1.3818,1.1335
2022-07-07,1.1304,1.3714,1.1419
2022-07-08,1.134,1.376,1.1376
2022-07-11,1.1229,1.3652,1.0922
2022-07-12,1.1103,1.363,1.0764
2022-07-13,1.1145,1.3644,1.0828
2022-07-14,1.1072,1.3504,1.0866
2022-07-15,1.1014,1.3382,1.0734
2022-07-18,1.0993,1.3406,1.0984
2022-07-19,1.1007,1.3414,1.0858
2022-07-20,1.1055,1.3495,1.0985
2022-07-21,1.0966,1.3346,1.0914
2022-07-22,1.0908,1.3345,1.0912
2022-07-25,1.0958,1.3452,1.077
2022-07-26,1.1047,1.355,1.0858
2022-07-27,1.0942,1.337,1.0751
2022-07-28,1.0909,1.3362,1.0734
2022-07-29,1.0735,1.3085,1.0359
2022-08-01,1.0788,1.306,1.0471
2022-08-02,1.0649,1.2842,1.023
2022-08-03,1.0564,1.2723,1.0336
2022-08-04,1.0717,1.287,1.0495
2022-08-05,1.0815,1.3002,1.0493
2022-08-08,1.0741,1.2881,1.0384
2022-08-09,1.0666,1.2874,1.0288
2022-08-10,1.0505,1.267,1.0015
2022-08-11,1.0677,1.293,1.0321
2022-08-12,1.0747,1.2966,1.0413
2022-08-15,1.0645,1.2854,1.0407
2022-08-16,1.0649,1.2826,1.0234
2022-08-17,1.0709,1.2924,1.0375
2022-08-18,1.0532,1.2719,1.03
2022-08-19,1.0597,1.2734,1.0365
2022-08-22,1.0655,1.2801,1.0354
2022-08-23,1.0562,1.2664,1.0298
2022-08-24,1.0501,1.2552,1.0051
2022-08-25,1.0692,1.2748,1.0443
2022-08-26,1.0819,1.2793,1.0526
2022-08-29,1.0711,1.2709,1.0494
2022-08-30,1.0701,1.2709,1.0442
2022-08-31,1.0791,1.2935,1.0521
2022-09-01,1.0643,1.2809,1.0207
2022-09-02,1.053,1.2651,1.0126
2022-09-05,1.0383,1.2539,0.9899
2022-09-06,1.0412,1.2586,0.9908
2022-09-07,1.027,1.2465,0.9841
2022-09-08,1.0256,1.2492,0.9709
2022-09-09,1.0375,1.2769,0.9981
2022-09-13,1.0536,1.2925,1.0014
2022-09-14,1.0464,1.2855,0.9812
2022-09-15,1.0464,1.2898,0.9808
2022-09-16,1.0265,1.2653,0.9703
2022-09-19,1.0354,1.2697,0.96
2022-09-20,1.0403,1.2717,0.9801
2022-09-21,1.0249,1.2508,0.9592
2022-09-22,1.0115,1.2286,0.9493
2022-09-23,1.0132,1.2284,0.9316
2022-09-26,1.019,1.2403,0.9591
2022-09-27,1.0504,1.2747,0.9768
2022-09-28,1.0465,1.2663,0.9502
2022-09-29,1.0444,1.2566,0.9385
2022-09-30,1.0419,1.2503,0.9216
2022-10-10,1.0131,1.2086,0.9056
2022-10-11,1.0142,1.2059,0.8844
2022-10-12,1.0138,1.2017,0.8795
2022-10-13,1.0094,1.1861,0.8571
2022-10-14,1.0228,1.2098,0.8687
2022-10-17,1.0163,1.205,0.8644
2022-10-18,1.0116,1.2049,0.8846
